name(In Danger)

snap(-12,-2,-40)

sky(55,70,78)
fog(75,82,75)
ground(105,105,105)
polys(88,84,78)

fadefrom(6000)
density(4)

nlaps(2)

set(47,0,0,250,0)

set(27,0,3200,250,0)
set(27,0,7200,250,180)
set(26,7000,12200,250,180)
set(26,7000,10200,250,0)

set(10,0,0,250,0)p
set(10,0,5600,250,0)p
set(10,0,11200,250,0)p
set(27,0,12200,250,0)pr
set(11,0,16800,250,0)p
set(11,0,22400,250,0)p

chk(40,0,25300,250,0)
set(14,0,26950,250,0)pt
set(10,4550,26950,250,90)p
set(14,9100,26950,250,180)pt
chk(40,9100,28700,250,0)
set(14,9100,30450,250,-90)pt
set(10,4550,30450,250,90)p
set(23,-3850,30450,250,90)p
set(29,-414,30450,250,90)pr
set(10,-6650,30450,250,90)p
set(11,-12250,30450,250,90)p

set(14,-16800,30450,250,0)pt
chk(40,-16800,28700,250,0)
set(14,-16800,26950,250,90)pt
set(10,-12250,26950,250,-90)p
set(14,-7700,26950,250,-90)pt

set(11,-7700,22400,250,0)p
set(10,-7700,16800,250,0)
set(26,-7700,18800,250,180)pr
fix(41,-7700,13900,-1500,0)s
set(10,-7700,11200,250,0)p

set(37,-7400,15000,250,90)
set(37,-8000,14000,250,90)
set(37,-7400,13000,250,90)
set(37,-7700,11000,250,0)
set(37,-7700,8000,250,0)
set(37,-7700,6000,250,0)

set(20,-7700,5600,250,0)p
set(17,-7700,1050,250,180)pt
chk(42,-9450,1050,250,90)
set(17,-11200,1050,250,90)pt
set(15,-11200,5600,250,0)
set(34,-11200,6700,250,0)pr
set(15,-11200,11200,250,0)p
set(16,-11200,16800,250,0)p
set(17,-11200,21350,250,-90)pt
chk(42,-12950,21350,250,90)
set(17,-14700,21350,250,0)pt
set(16,-14700,16800,250,0)p
set(15,-14700,11200,250,0)
set(34,-14700,11200,250,0)pr
set(15,-14700,5600,250,0)p
set(20,-14700,0,250,180)p
set(14,-14700,-4550,250,90)pt
set(10,-10150,-4550,250,90)p
chk(40,-7350,-4550,250,90)
set(10,-4550,-4550,250,90)p

set(10,7000,0,250,0)
set(10,7000,5600,250,0)
set(10,7000,11200,250,0)
set(20,7000,16800,250,180)
set(17,7000,21350,250,-90)
set(17,3500,21350,250,0)
set(15,3500,16800,250,0)
set(15,3500,11200,250,0)
set(15,3500,5600,250,0)
set(20,3500,0,250,180)
set(14,7000,-4550,250,180)
set(35,3500,11200,250,180)
set(14,3500,-4550,250,90)

maxr(10,12000,-7500)
maxb(8,-7400,-21700)
maxt(8,35800,-21700)
maxl(10,-21600,-7500)

set(14,0,-4550,250,180)pt
