snap(0,0,0)

sky(100,100,100)
fog(0,0,0) 
ground(1000,1000,1000)

fadefrom(13865)

name(The Strange And The Mysterious)
nlaps(3)

set(11,0,0,250,0)

set(18,0,5600,250,0)p
set(18,0,11200,250,0)p
set(32,0,11200,250,0)
set(18,0,16800,250,0)p
set(18,0,22400,250,180)p
chk(26,0,20000,250,0)
set(26,0,21000,250,180)
set(18,0,28000,250,0)p
set(32,0,29000,250,0)
set(18,0,33600,250,0)p
set(21,0,39200,250,180)p
chk(42,0,42000,250,0)
set(17,0,43750,250,0)pt
set(15,4550,43750,250,90)p
set(16,10150,43750,250,-90)p
set(15,15750,43750,250,90)p
set(34,15750,43750,250,90)pr
set(15,21350,43750,250,-90)p
set(15,26950,43750,250,90)p
set(15,32550,43750,250,-90)p
set(17,37100,43750,250,180)pt
set(17,37100,47250,250,-90)pt
chk(42,35350,47250,250,90)
set(15,32550,47250,250,90)p
set(15,26950,47250,250,90)p
set(35,26950,47050,250,990)pr
set(35,24000,47450,250,-90)pr
set(15,21350,47250,250,90)p
set(34,15750,47450,250,-990)
set(15,15750,47250,250,-90)p
set(15,10150,47250,250,90)p
set(16,4550,47250,250,-90)p
set(16,-1050,47250,250,90)p
set(15,-6650,47250,250,-90)p
set(15,-12250,47250,250,90)p
set(15,-17850,47250,250,-90)p
set(15,-23450,47250,250,90)p
set(16,-29050,47250,250,90)p

set(33,-8000,47250,250,990)
set(33,-13000,47250,250,90)
set(33,-18000,47250,250,990)
set(33,-23000,47250,250,90)

chk(42,-31800,47250,250,91)
set(17,-33600,47250,250,0)pt
set(17,-33600,43750,250,90)pt
set(20,-29050,43750,250,-90)p
set(10,-23450,43750,250,90)p
chk(26,-23450,43750,250,-90)
set(26,-22450,43750,250,90)
set(10,-17850,43750,250,90)p
set(10,-12250,43750,250,90)p
set(14,-7700,43750,250,-90)pt
chk(40,-7700,42000,250,0)
set(10,-7700,39200,250,0)p
set(10,-7700,33600,250,180)p
set(10,-7700,28000,250,0)p
set(31,-7700,22000,250,180)p
set(31,-7700,18000,250,0)
fix(41,-7700,13000,-4250,0)s
fix(31,-7700,14000,-3000,180)
fix(31,-7700,8000,-5250,180)
fix(31,-7700,2000,-7850,180)
fix(31,-7700,-4000,-11000,180)

set(23,-7700,21120,250,0)
set(23,-7700,14000,250,180)
set(10,-7700,11200,250,180)p
set(10,-7700,5600,250,900)p
set(14,-7700,1050,250,180)pt
chk(40,-7700,2550,250,0)
set(20,-12250,1050,250,-90)p
set(17,-16800,1050,250,90)pt
set(15,-16800,5600,250,0)p
set(15,-16800,11200,250,0)p
set(15,-16800,16800,250,0)p
set(15,-16800,22400,250,0)p
set(15,-16800,28000,250,0)p

set(35,-16400,11200,250,0)
set(35,-17200,16200,250,180)
set(35,-16300,22200,250,180)
set(35,-17300,22200,250,0)

set(17,-16800,32550,250,-90)pt
chk(42,-18500,32550,250,-91)
set(17,-20300,32550,250,0)pt
set(20,-20300,28000,250,180)p
chk(37,-20300,25000,250,900)
set(10,-20300,22400,250,0)
chk(37,-20300,20000,250,900)
set(10,-20300,16800,250,0)
chk(37,-20300,15000,250,900)
set(10,-20300,11200,250,0)
chk(37,-20300,10000,250,180)
set(10,-20300,5600,250,0)
chk(37,-20300,5000,250,180)
set(10,-20300,0,250,0)
chk(37,-20300,0,250,1)
set(14,-20300,-4550,250,90)pt
set(10,-15750,-4550,250,-90)p
set(10,-10150,-4550,250,-90)p
set(29,-10150,-4550,250,990)
set(20,-4550,-4550,250,90)p
set(17,0,-4550,250,180)pt
chk(42,-500,-4000,250,-45)

set(39,-7000,39000,250,0)
set(39,-7000,34200,250,0)
set(39,-7000,29400,250,0)
set(39,-7000,24600,250,0)
set(39,-8400,39000,250,0)
set(39,-8400,34200,250,0)
set(39,-8400,29400,250,0)
set(39,-8400,24600,250,0)

set(41,-16800,1050,250,0)
set(41,-16800,1050,250,45)
set(41,-16800,1050,250,90)
set(41,-16800,1050,250,-45)
set(39,-7700,15400,250,0)
set(39,-7700,10600,250,0)

set(21,0,0,250,0)p
